TEAM,MATCH UP,GAME DATE,W/L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,ASTRATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE
OKC,OKC vs. DET,04/01/2022,L,48,102,108.9,-6.9,66.7,1.41,17.3,30.2,80,55.6,17.2,49.4,52.2,100,44.8
UTA,UTA vs. LAL,03/31/2022,W,48,127.1,114.7,12.3,54.3,3.13,18.4,32.7,75,52.7,8.3,59.4,60.7,95.5,55.9
DET,DET vs. PHI,03/31/2022,W,48,110.9,103.3,7.6,63.4,2.6,20.3,22.2,87.2,52.4,10.9,56.1,57.6,91.5,51.8
CHI,CHI vs. LAC,03/31/2022,W,53,125,118.2,6.8,48,3,16.2,30.9,84.4,55,7.4,53.9,58.1,98.72,51.1
MIL,MIL @ BKN,03/31/2022,W,53,105.3,105.3,0,42.5,0.74,11.6,30.2,87,58.9,20.2,51.7,57.7,102.79,50.9
BKN,BKN vs. MIL,03/31/2022,L,53,105.3,105.3,0,68.9,1.94,20.5,13,69.8,41.1,14.2,55.7,57.2,102.79,49.1
PHI,PHI @ DET,03/31/2022,L,48,103.3,110.9,-7.6,71,1.47,18.6,12.8,77.8,47.6,16.5,50,57.8,91.5,48.2
LAC,LAC @ CHI,03/31/2022,L,53,118.2,125,-6.8,57.8,2.17,18.3,15.6,69.1,45,10.9,58.9,64.1,98.72,48.9
CLE,CLE @ ATL,03/31/2022,L,48,105.9,131,-25.1,48.7,1.36,13.9,31.5,70.2,49.5,13.9,47.2,52.3,100.5,39.3
LAL,LAL @ UTA,03/31/2022,L,48,114.7,127.1,-12.3,43.9,1.64,14.5,25,67.3,47.3,11.6,53.6,57.2,95.5,44.1
ATL,ATL vs. CLE,03/31/2022,W,48,131,105.9,25.1,60,3,19.1,29.8,68.5,50.5,9,58.8,63.4,100.5,60.7
NYK,NYK vs. CHA,03/30/2022,L,48,114,126.3,-12.3,57.5,1.64,16.9,27.7,76.2,50.6,14,56.5,59.1,99.5,42
HOU,HOU vs. SAC,03/30/2022,L,48,112.4,116.3,-4,53.5,1.28,15.9,35.7,72.7,54.1,17.1,52.7,56.2,104.5,46.1
MEM,MEM @ SAS,03/30/2022,W,48,117.9,115.6,2.3,59.1,1.86,19.1,31.3,74.4,51.6,14.7,57.1,58.4,95.5,49.2
PHX,PHX @ GSW,03/30/2022,W,48,101.9,98.1,3.8,52.6,1.43,14.1,30.4,74.5,51.4,13.3,45.1,50.9,105,50.2
ATL,ATL @ OKC,03/30/2022,W,48,127.1,111.3,15.8,57.1,2.15,19.7,20.5,78,51.1,12.1,63.7,67.5,106.5,57.6
IND,IND vs. DEN,03/30/2022,L,48,122.9,130.2,-7.3,65.9,3.63,19.9,37.5,63.3,46.5,8.3,51.5,55.1,96,43
